ID,Epic,Equipo,Fase,FaseNombre,Titulo,Descripcion,CriterioDeAceptacion,Estado,EsNueva,BloqueadaPor,Etiquetas
B1.22,Backend · Fase 1 — API de consola,Backend,1,API de consola,Crear el catálogo de métricas en Snowflake,"Los tres objetos en el mismo db.schema que tiene configurado el agente del tenant —para UA MX, DB_BT_UA.BT_UA_MART_ANALYTICS—, más el grant de lectura para el rol del agente. DD_METRIC_CURATION es una tabla y lleva lo editorial; SYNAPSE_METRIC_CATALOG es la vista que el backend lee, con las once columnas de su SELECT y esos nombres exactos; SYNAPSE_METRIC_CATALOG_ISSUES lista lo que está mal con su razón. Son tres y no uno porque INFORMATION_SCHEMA.SEMANTIC_METRICS da nombre, expresión y tipo de dato, y ningún campo de gobierno: esos son editoriales y necesitan dónde escribirse. Y la tercera existe porque Snowflake no hace cumplir un CHECK, así que los enumerados cerrados se verifican o no se verifican. Guía: docs/snowflake/INSTRUCCION-ALTA-TENANT.md §4 paso 1 y paso 4 · el SQL listo para correr en docs/snowflake/SYNAPSE_METRIC_CATALOG.sql secciones 1 a 3.","• SELECT  FROM SYNAPSE_METRIC_CATALOG devuelve filas desde el db.schema del agente, no desde una ruta fija: el backend califica la vista con lo que dice agents, y una vista en el schema equivocado no se encuentra.
• SHOW GRANTS ON VIEW SYNAPSE_METRIC_CATALOG muestra SELECT para el rol de tenants.snowflake_role. Sin esto sync-catalog falla con un error de permisos que no dice qué falta.
• Las once columnas salen con los nombres que el SELECT de Go espera. Una renombrada hace fallar la sincronización entera, no una métrica.
• La vista de issues NO filtra la vista principal. Un catálogo que se arregla descartando en silencio la fila mala hace que la métrica desaparezca del dashboard sin que nadie sepa por qué.",parcial,si,,equipo:backend fase:1 estado:parcial nueva
B1.23,Backend · Fase 1 — API de consola,Backend,1,API de consola,Escribir el gobierno de las métricas,"La semilla deja las filas con BASE, MEASUREMENT_WINDOW y SOURCE marcados ⟨REVISAR⟩. Son texto que se pinta literal en pantalla, así que se redactan, no se generan. También hay que revisar FAMILY —de ahí sale el color de cada serie— y SEMANTIC_DIRECTION, que se propusieron desde la expresión SQL. Van con marcador y no con un valor plausible por una razón: una BASE inventada se lee bien y miente, y nadie la audita después. Guía: docs/snowflake/INSTRUCCION-ALTA-TENANT.md §4 paso 2 · la semilla con los campos marcados ⟨REVISAR⟩ está en docs/snowflake/SYNAPSE_METRIC_CATALOG.sql sección 4.","• SELECT  FROM SYNAPSE_METRIC_CATALOG_ISSUES devuelve cero filas. Mientras devuelva algo, dice qué métrica y por qué.
• Ninguna fila activa conserva el marcador ⟨REVISAR⟩ en los tres campos.
• BASE declara un denominador, no una descripción: «312 SKU críticos sobre 18.240 activos» y no «ventas del período».
• MEASUREMENT_WINDOW declara el período que mide la métrica, no el de la consulta. Son cosas distintas y confundirlas es el bug.
• FAMILY cae en las cinco que tienen rampa de color. Una sexta pinta la serie sin color y no falla: es el mismo modo de silencio que una utilidad que nombra un token inexistente.
• Cada fila lleva CURATED_BY: un campo de gobierno sin quién lo firmó no es auditable, que es justamente lo que estos campos existen para sostener.",pendiente,si,,equipo:backend fase:1 estado:pendiente nueva
B1.24,Backend · Fase 1 — API de consola,Backend,1,API de consola,Alinear las claves del catálogo con el registro de queries,"METRIC_KEY no es un nombre libre. El materializador tiene doce queries en un mapa de Go (MetricRegistry) y las busca por esa clave, con un mapa de alias en snowflake/keys.go como único puente. Es el paso que se rompe en silencio: una clave que no está en el mapa sincroniza bien, compone bien, y después sale BLOQUEADO sin que nada explique por qué. Es el mismo modo de falla que el spread condicional con una prop mal escrita, tres capas más abajo. Guía: docs/snowflake/INSTRUCCION-ALTA-TENANT.md §4 paso 3, que trae la tabla de las doce claves y los ocho alias · el porqué, en docs/snowflake/CONTRATO-DE-TENANT.md.","• Toda METRIC_KEY activa resuelve a una entrada de MetricRegistry, directo o por alias. Verificado corriendo el materializador, no leyendo las dos listas.
• Una clave nueva entra con su alias en keys.go en la misma jugada. Las dos mitades se mueven juntas o no se mueven.
• exec_resumen y month_decisions no se curan todavía: el materializador ya las trae con Blocked: true y la razón escrita —«Requires BT_UA_DECISION_LOG actionable framework»—. Curarlas publicaría dos paneles que solo pueden salir bloqueados.
• Queda escrito que las claves de SV_SYNAPSE_UA_ANALYTICS no sirven: el materializador no lee la capa semántica, lee las tablas Gold directo. Es el error que ya se cometió una vez al escribir la primera semilla.",pendiente,si,,equipo:backend fase:1 estado:pendiente nueva
B1.25,Backend · Fase 1 — API de consola,Backend,1,API de consola,ventana de punta a punta · de la vista al payload,"Lo único de este bloque que es código y no Snowflake, y es de una línea en dos lugares: agregar MEASUREMENT_WINDOW al SELECT de dd_catalog_sync_service.go, y el campo a DDCatalogMetric para que salga por GET /config/catalog. Sin esto la consola no se puede entregar. PanelShell pinta Base · {base} · {ventana} en la cabecera de todos los paneles y en todos sus estados —es shell, no cuerpo, así que no se reemplaza nunca— y el template literal imprime la cadena undefined, no un hueco. Guía: docs/snowflake/INSTRUCCION-ALTA-TENANT.md §4 paso 5.","• GET /config/catalog devuelve el campo para cada métrica.
• Ningún panel de la consola muestra undefined en la línea de BASE, en ninguno de los siete estados.
• La columna se llama MEASUREMENT_WINDOW y no WINDOW: WINDOW es reservada en ANSI y obligaría a citarla en la vista, en el SELECT de Go y en cada consulta a mano. Si se prefiere WINDOW, se decide antes de escribir el campo, no después.
• El front lo consume por el adaptador de F1.33 sin lógica nueva: es un renombre, no un cálculo.",parcial,si,,equipo:backend fase:1 estado:parcial nueva bloqueada
B1.27,Backend · Fase 1 — API de consola,Backend,1,API de consola,El período declara si está cerrado,"El catálogo vive en Snowflake y el registro de queries en Go: dos mitades del mismo hecho, en dos lugares, que se pueden separar sin que nadie se entere. El puente es el mapa de alias de keys.go, escrito a mano. Un tenant cuyo catálogo declare ventas no tiene alias, no encuentra query, y la métrica sale bloqueada. Con un tenant se sostiene; con el segundo deja de sostenerse. A · contrato de forma: todo tenant expone dos objetos con las quince columnas, vía una vista que renombre lo que ya tenga. Barato y rígido — sin BUDGET_TARGET no hay goal_attainment. B · el registro pasa a ser dato: MetricRegistry sale de Go a una tabla por tenant. Caro y flexible — la clave del catálogo es la del registro y el alias desaparece. Guía: docs/snowflake/CONTRATO-DE-TENANT.md §7 y docs/snowflake/INSTRUCCION-ALTA-TENANT.md §7, con los dos caminos y su costo.","• La decisión queda escrita con su razón, no elegida por omisión al dar de alta el segundo tenant.
• Si se elige A, B queda declarado como destino y con fecha. A sin fecha para B es cómo el mapa de alias termina con cuarenta entradas.
• Si se elige A, queda escrito qué pasa con un tenant al que le falta una columna: hoy el panel sale bloqueado sin razón, y §8 pide estado, razón y qué lo desbloquea.
• La decisión nombra quién es dueño de la vista por tenant: hoy sync-catalog asume que existe y falla sin decir que falta.",parcial,si,,equipo:backend fase:1 estado:parcial nueva bloqueada
B1.26,Backend · Fase 1 — API de consola,Backend,1,API de consola,"Decidir cómo escala el registro, antes del segundo tenant","El catálogo vive en Snowflake y el registro de queries en Go: dos mitades del mismo hecho, en dos lugares, que se pueden separar sin que nadie se entere. El puente es el mapa de alias de keys.go, escrito a mano. Un tenant cuyo catálogo declare ventas no tiene alias, no encuentra query, y la métrica sale bloqueada. Con un tenant se sostiene; con el segundo deja de sostenerse. A · contrato de forma: todo tenant expone dos objetos con las quince columnas, vía una vista que renombre lo que ya tenga. Barato y rígido — sin BUDGET_TARGET no hay goal_attainment. B · el registro pasa a ser dato: MetricRegistry sale de Go a una tabla por tenant. Caro y flexible — la clave del catálogo es la del registro y el alias desaparece. Guía: docs/snowflake/CONTRATO-DE-TENANT.md §7 y docs/snowflake/INSTRUCCION-ALTA-TENANT.md §7, con los dos caminos y su costo.","• La decisión queda escrita con su razón, no elegida por omisión al dar de alta el segundo tenant.
• Si se elige A, B queda declarado como destino y con fecha. A sin fecha para B es cómo el mapa de alias termina con cuarenta entradas.
• Si se elige A, queda escrito qué pasa con un tenant al que le falta una columna: hoy el panel sale bloqueado sin razón, y §8 pide estado, razón y qué lo desbloquea.
• La decisión nombra quién es dueño de la vista por tenant: hoy sync-catalog asume que existe y falla sin decir que falta.",pendiente,si,,equipo:backend fase:1 estado:pendiente nueva
B2.1,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Tabla panel_data,"El snapshot materializado con gobierno completo por (tenant_id, metric_id, periodo). Es la fuente del batch y sobrevive reinicios.","• Guarda el Valor ya transformado a su forma, no el resultado crudo de la query.
• Guarda frescura como el instante de materialización.
• Se puede auditar: qué había en un panel el mes pasado es consultable.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.2,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Job de materialización,"Por cada tenant × métrica × período activo: consultar Snowflake o el semantic layer, transformar a Valor + Gobierno + Presentacion, escribir en panel_data.","• Un dashboard de 30 paneles no dispara 30 queries a Snowflake al cargar la página: el batch lee cache.
• El job es idempotente: correrlo dos veces sobre el mismo período no duplica.
• Un fallo en una métrica no aborta el resto del job.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.3,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,"El batch lee de panel_data, no de Snowflake",,"• batch → Redis hit? → return · miss → Postgres → populate → return.
• Redis no es fuente de verdad. Vaciarlo no pierde datos: los repuebla desde Postgres.
• TTL corto, 5–15 minutos.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.4,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Redis opcional encima de Postgres,,"• batch → Redis hit? → return · miss → Postgres → populate → return.
• Redis no es fuente de verdad. Vaciarlo no pierde datos: los repuebla desde Postgres.
• TTL corto, 5–15 minutos.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.5,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Estado DEGRADADO,"Si frescura > cadencia × tolerancia, el panel se marca degradado con razon y desbloqueaCon.","• El backend decide, no el front: nuevo-desarrollo.md §1.3 dice que el front no calcula degradación.
• DEGRADADO sí lleva valor: muestra la cifra y declara la limitación. No es un estado sin dato.
• La cadencia y la tolerancia son configurables por métrica, no una constante.",hecho,no,,equipo:backend fase:2 estado:hecho
B2.6,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Estado BLOQUEADO,,"• Job fallido o precondición incumplida → sin valor, con razon y desbloqueaCon.
• No se inventa un número aproximado. §8 de design.md: si un feed está vencido, el panel muestra estado, razón y qué lo desbloquea.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.7,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Estado SIN_PERMISO en el batch,,"• Publicar un layout deja de servir el anterior en la siguiente request.
• Un panel recién materializado se ve con su frescura nueva sin esperar el TTL.
• Un rol sin permiso sobre una métrica no recibe su payload aunque conozca el panelId.",pendiente,no,B0.9 (línea 1171),equipo:backend fase:2 estado:pendiente bloqueada
B2.8,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Invalidar cache al publicar layout,,"• Publicar un layout deja de servir el anterior en la siguiente request.
• Un panel recién materializado se ve con su frescura nueva sin esperar el TTL.
• Un rol sin permiso sobre una métrica no recibe su payload aunque conozca el panelId.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.9,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Invalidar cache al completar materialización,,"• Publicar un layout deja de servir el anterior en la siguiente request.
• Un panel recién materializado se ve con su frescura nueva sin esperar el TTL.
• Un rol sin permiso sobre una métrica no recibe su payload aunque conozca el panelId.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.10,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,"frescura = instante de materialización, nunca «ahora»",,"• Publicar un layout deja de servir el anterior en la siguiente request.
• Un panel recién materializado se ve con su frescura nueva sin esperar el TTL.
• Un rol sin permiso sobre una métrica no recibe su payload aunque conozca el panelId.",pendiente,no,,equipo:backend fase:2 estado:pendiente
